EmployeeNumber,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1743,0,28,Travel_Rarely,1158,Research & Development,9,3,Medical,4,Male,94,3,1,Research Scientist,4,Married,2070,2613,1,1,0,23,4,4,80,1,5,3,2,5,2,0,4
1744,0,37,Travel_Rarely,228,Sales,6,4,Medical,3,Male,98,3,2,Sales Executive,4,Married,6502,22825,4,1,0,14,3,2,80,1,7,5,4,5,4,0,1
1745,0,21,Travel_Rarely,996,Research & Development,3,2,Medical,4,Male,100,2,1,Research Scientist,3,Single,3230,10531,1,1,0,17,3,1,80,0,3,4,4,3,2,1,0
1746,0,37,Non-Travel,728,Research & Development,1,4,Medical,1,Female,80,3,3,Research Director,4,Divorced,13603,11677,2,1,1,18,3,1,80,2,15,2,3,5,2,0,2
1747,0,35,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,2,Female,71,4,3,Manager,2,Divorced,11996,19100,7,1,0,18,3,2,80,1,10,6,2,7,7,6,2
1748,0,38,Travel_Rarely,322,Sales,7,2,Medical,1,Female,44,4,2,Sales Executive,1,Divorced,5605,19191,1,1,1,24,4,3,80,1,8,3,3,8,0,7,7
1749,0,26,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,1,0,20,4,1,80,1,6,6,1,6,5,1,4
1750,0,50,Travel_Rarely,797,Research & Development,4,1,Life Sciences,1,Male,96,3,5,Research Director,2,Divorced,19144,15815,3,1,0,14,3,1,80,2,28,4,2,10,4,1,6
1751,0,53,Travel_Rarely,1070,Research & Development,3,4,Medical,3,Male,45,3,4,Research Director,3,Married,17584,21016,3,1,1,16,3,4,80,3,21,5,2,5,3,1,3
1752,0,42,Travel_Rarely,635,Sales,1,1,Life Sciences,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,1,1,0,25,4,3,80,0,20,3,3,20,16,11,6
1753,0,29,Travel_Frequently,442,Sales,2,2,Life Sciences,2,Male,44,3,2,Sales Executive,4,Single,4554,20260,1,1,0,18,3,1,80,0,10,3,2,10,7,0,9
1754,0,55,Travel_Rarely,147,Research & Development,20,2,Technical Degree,2,Male,37,3,2,Laboratory Technician,4,Married,5415,15972,3,1,1,19,3,4,80,1,12,4,3,10,7,0,8
1755,0,26,Travel_Frequently,496,Research & Development,11,2,Medical,1,Male,60,3,2,Healthcare Representative,1,Married,4741,22722,1,1,1,13,3,3,80,1,5,3,3,5,3,3,3
1756,0,37,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,4,Female,42,3,1,Research Scientist,4,Single,2115,15881,1,1,0,12,3,2,80,0,17,3,3,17,12,5,7
1757,1,44,Travel_Frequently,920,Research & Development,24,3,Life Sciences,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161,19920,3,1,1,22,4,4,80,1,19,0,1,1,0,0,0
1758,0,38,Travel_Rarely,688,Research & Development,23,4,Life Sciences,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,18899,9,1,0,14,3,2,80,1,10,2,3,2,2,1,2
1759,1,26,Travel_Rarely,1449,Research & Development,16,4,Medical,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2,1,1,13,3,4,80,1,5,2,3,3,2,0,2
1760,0,28,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,4,Female,66,3,1,Research Scientist,4,Single,3310,4488,1,1,0,21,4,4,80,0,5,3,3,5,3,0,2
1761,0,49,Travel_Frequently,636,Research & Development,10,4,Life Sciences,3,Female,35,3,5,Research Director,1,Single,18665,25594,9,1,1,11,3,4,80,0,22,4,3,3,2,1,2
1762,0,36,Travel_Rarely,506,Research & Development,3,3,Technical Degree,3,Male,30,3,2,Research Scientist,2,Single,4485,26285,4,1,0,12,3,4,80,0,10,2,3,8,0,7,7
1763,0,31,Travel_Frequently,444,Sales,5,3,Marketing,4,Female,84,3,1,Sales Representative,2,Divorced,2789,3909,1,1,0,11,3,3,80,1,2,5,2,2,2,2,2
1764,1,26,Travel_Rarely,950,Sales,4,4,Marketing,4,Male,48,2,2,Sales Executive,4,Single,5828,8450,1,1,1,12,3,2,80,0,8,0,3,8,7,7,4
1765,0,37,Travel_Frequently,889,Research & Development,9,3,Medical,2,Male,53,3,1,Research Scientist,4,Married,2326,11411,1,1,1,12,3,3,80,3,4,3,2,4,2,1,2
1766,0,42,Travel_Frequently,555,Sales,26,3,Marketing,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,1,0,14,3,4,80,1,23,2,4,20,4,4,8
1767,1,18,Travel_Rarely,230,Research & Development,3,3,Life Sciences,3,Male,54,3,1,Laboratory Technician,3,Single,1420,25233,1,1,0,13,3,3,80,0,0,2,3,0,0,0,0
1768,0,35,Travel_Rarely,1232,Sales,16,3,Marketing,3,Male,96,3,3,Sales Executive,2,Married,8020,5100,0,1,0,15,3,3,80,2,12,3,2,11,9,6,9
1769,0,36,Travel_Frequently,566,Research & Development,18,4,Life Sciences,3,Male,81,4,1,Laboratory Technician,4,Married,3688,7122,4,1,0,18,3,4,80,2,4,2,3,1,0,0,0
1770,0,51,Travel_Rarely,1302,Research & Development,2,3,Medical,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,16321,5,1,0,18,3,4,80,1,13,3,3,4,1,1,2
1771,0,41,Travel_Rarely,334,Sales,2,4,Life Sciences,4,Male,88,3,4,Manager,2,Single,16015,15896,1,1,0,19,3,2,80,0,22,2,3,22,10,0,4
1772,0,18,Travel_Rarely,812,Sales,10,3,Medical,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,1,0,12,3,1,80,0,0,2,3,0,0,0,0
1773,0,28,Travel_Rarely,1476,Research & Development,16,2,Medical,2,Male,68,4,2,Healthcare Representative,1,Single,5661,4824,0,1,0,19,3,3,80,0,9,2,3,8,3,0,7
1774,0,31,Travel_Rarely,218,Sales,7,3,Technical Degree,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,1,0,11,3,2,80,1,10,3,2,8,7,7,7
1775,0,39,Travel_Rarely,1132,Research & Development,1,3,Medical,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,1,0,17,3,1,80,3,19,5,2,18,10,3,7
1776,0,36,Non-Travel,1105,Research & Development,24,4,Life Sciences,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,1,0,15,3,3,80,1,11,3,3,9,8,0,8
1777,0,32,Travel_Rarely,906,Sales,7,3,Life Sciences,4,Male,91,2,2,Sales Executive,3,Married,5484,16985,1,1,0,14,3,3,80,1,13,3,2,13,8,4,8
1778,0,38,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,Female,81,2,3,Research Director,2,Married,12061,26707,3,1,0,17,3,3,80,1,19,2,3,10,8,0,1
1779,0,58,Non-Travel,390,Research & Development,1,4,Life Sciences,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660,17056,2,1,1,13,3,4,80,1,12,2,3,5,3,1,2
1780,0,31,Travel_Rarely,691,Research & Development,5,4,Technical Degree,3,Male,86,3,1,Research Scientist,4,Married,4821,10077,0,1,1,12,3,3,80,1,6,4,3,5,2,0,3
1781,0,31,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,Male,62,2,2,Human Resources,1,Married,6410,17822,3,1,0,12,3,4,80,0,9,1,3,2,2,1,0
1782,0,45,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,20308,1,1,0,18,3,1,80,1,24,2,3,24,9,9,11
1783,0,31,Travel_Rarely,192,Research & Development,2,4,Life Sciences,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,1,1,18,3,2,80,1,3,2,1,2,2,2,2
1784,0,33,Travel_Frequently,553,Research & Development,5,4,Life Sciences,4,Female,74,3,3,Manager,2,Married,11878,23364,6,1,0,11,3,2,80,2,12,2,3,10,6,8,8
1785,0,39,Travel_Rarely,117,Research & Development,10,1,Medical,3,Male,99,3,4,Manager,1,Married,17068,5355,1,1,1,14,3,4,80,0,21,3,3,21,9,11,10
1786,0,43,Travel_Frequently,185,Research & Development,10,4,Life Sciences,3,Female,33,3,1,Laboratory Technician,4,Single,2455,10675,0,1,0,19,3,1,80,0,9,5,3,8,7,1,7
1787,0,49,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,3,Female,90,2,4,Healthcare Representative,3,Single,13964,17810,7,1,1,12,3,4,80,0,25,2,3,7,1,0,7
1788,1,52,Travel_Rarely,723,Research & Development,8,4,Medical,3,Male,85,2,2,Research Scientist,2,Married,4941,17747,2,1,0,15,3,1,80,0,11,3,2,8,2,7,7
1789,0,27,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,1,1,12,3,2,80,0,4,2,2,4,3,1,2
1790,0,32,Travel_Rarely,588,Sales,8,2,Technical Degree,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,1,1,11,3,4,80,0,13,2,3,13,12,11,9
1791,0,27,Travel_Rarely,1377,Sales,2,3,Life Sciences,4,Male,74,3,2,Sales Executive,3,Single,4478,5242,1,1,1,11,3,1,80,0,5,3,3,5,4,0,4
1792,0,31,Travel_Rarely,691,Sales,7,3,Marketing,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,1,0,12,3,4,80,3,13,3,3,7,7,1,7
1793,0,32,Travel_Rarely,1018,Research & Development,2,4,Medical,1,Female,74,4,2,Research Scientist,4,Single,5055,10557,7,1,0,16,3,3,80,0,10,0,2,7,7,0,7
1794,1,28,Travel_Rarely,1157,Research & Development,2,4,Medical,1,Male,84,1,1,Research Scientist,4,Married,3464,24737,5,1,1,13,3,4,80,0,5,4,2,3,2,2,2
1795,0,30,Travel_Rarely,1275,Research & Development,28,2,Medical,4,Female,64,3,2,Research Scientist,4,Married,5775,11934,1,1,0,13,3,4,80,2,11,2,3,10,8,1,9
1796,0,31,Travel_Frequently,798,Research & Development,7,2,Life Sciences,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,1,0,24,4,1,80,1,10,2,3,10,9,8,9
1797,0,39,Travel_Frequently,672,Research & Development,7,2,Medical,3,Male,54,2,5,Manager,4,Married,19272,21141,1,1,0,15,3,1,80,1,21,2,3,21,9,13,3
1798,1,39,Travel_Rarely,1162,Sales,3,2,Medical,4,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,1,1,18,3,1,80,0,12,3,2,1,0,0,0
1799,0,33,Travel_Frequently,508,Sales,10,3,Marketing,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,1,0,14,3,3,80,0,9,6,2,7,7,0,1
1800,0,47,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,4,Male,42,3,5,Research Director,3,Married,18300,16375,4,1,0,11,3,2,80,1,21,2,3,3,2,1,1
1801,0,43,Travel_Frequently,559,Research & Development,10,4,Life Sciences,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,1,0,11,3,2,80,1,9,3,4,9,7,0,0
1802,0,27,Non-Travel,210,Sales,1,1,Marketing,3,Male,73,3,2,Sales Executive,2,Married,6349,22107,0,1,1,13,3,4,80,1,6,0,3,5,4,1,4
1803,0,54,Travel_Frequently,928,Research & Development,20,4,Life Sciences,4,Female,31,3,2,Research Scientist,3,Single,4869,16885,3,1,0,12,3,4,80,0,20,4,2,4,3,0,3
1804,0,43,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,1,0,16,3,1,80,1,10,1,2,1,0,0,0
1805,0,45,Travel_Rarely,549,Research & Development,8,4,Other,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,1,0,14,3,1,80,2,12,3,3,10,9,9,8
1806,0,40,Travel_Rarely,1124,Sales,1,2,Medical,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,1,1,22,4,3,80,3,6,2,2,4,3,0,2
1807,1,29,Travel_Rarely,318,Research & Development,8,4,Other,2,Male,77,1,1,Laboratory Technician,1,Married,2119,4759,1,1,1,11,3,4,80,0,7,4,2,7,7,0,7
1808,0,29,Travel_Rarely,738,Research & Development,9,5,Other,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,1,0,17,3,3,80,0,4,2,3,3,2,2,2
1809,0,30,Travel_Rarely,570,Sales,5,3,Marketing,4,Female,30,2,2,Sales Executive,3,Divorced,6118,5431,1,1,0,13,3,3,80,3,10,2,3,10,9,1,2
1810,0,27,Travel_Rarely,1130,Sales,8,4,Marketing,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1,1,0,18,3,1,80,1,8,3,3,8,7,0,7
1811,0,37,Travel_Rarely,1192,Research & Development,5,2,Medical,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,1,0,16,3,3,80,2,8,2,2,6,2,0,4
1812,0,38,Travel_Rarely,343,Research & Development,15,2,Life Sciences,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,1,1,14,3,2,80,1,12,3,3,11,10,2,9
1813,0,31,Travel_Rarely,1232,Research & Development,7,4,Medical,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,1,1,14,3,3,80,0,11,2,2,11,9,4,10
1814,0,29,Travel_Rarely,144,Sales,10,1,Marketing,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,1,1,14,3,1,80,2,7,2,3,7,7,1,7
1815,0,35,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,3,Male,62,3,3,Manufacturing Director,2,Single,8095,18264,0,1,0,13,3,4,80,0,17,5,3,16,6,0,13
1816,0,23,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,3,Male,83,3,1,Research Scientist,4,Divorced,2904,16092,1,1,0,12,3,3,80,2,4,2,2,4,2,0,2
1817,0,41,Travel_Rarely,483,Research & Development,6,3,Medical,4,Male,95,2,2,Manufacturing Director,2,Single,6032,10110,6,1,1,15,3,4,80,0,8,3,3,5,4,1,2
1818,0,47,Travel_Frequently,1309,Sales,4,1,Medical,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3,1,0,19,3,1,80,0,5,3,3,0,0,0,0
1819,0,42,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,1,0,14,3,2,80,0,16,2,3,1,0,0,0
1820,0,29,Non-Travel,746,Sales,2,3,Life Sciences,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,1,0,14,3,1,80,1,4,3,2,4,3,0,2
1821,0,42,Travel_Rarely,544,Human Resources,2,1,Technical Degree,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,1,1,11,3,3,80,1,4,5,3,3,2,1,0
1822,0,32,Travel_Rarely,1062,Research & Development,2,3,Medical,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,1,0,13,3,3,80,1,8,4,3,8,0,0,7
1823,0,48,Travel_Rarely,530,Sales,29,1,Medical,1,Female,91,3,3,Manager,3,Married,12504,23978,3,1,0,21,4,2,80,1,15,3,1,0,0,0,0
1824,0,37,Travel_Rarely,1319,Research & Development,6,3,Medical,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,4,1,1,13,3,1,80,2,13,2,3,7,7,6,7
1825,0,30,Non-Travel,641,Sales,25,2,Technical Degree,4,Female,85,3,2,Sales Executive,3,Married,4736,6069,7,1,1,12,3,2,80,1,4,2,4,2,2,2,2
1826,0,26,Travel_Rarely,933,Sales,1,3,Life Sciences,3,Male,57,3,2,Sales Executive,3,Married,5296,20156,1,1,0,17,3,2,80,1,8,3,3,8,7,7,7
1827,0,42,Travel_Rarely,1332,Research & Development,2,4,Other,1,Male,98,2,2,Healthcare Representative,4,Single,6781,17078,3,1,0,23,4,2,80,0,14,6,3,1,0,0,0
1828,1,21,Travel_Frequently,756,Sales,1,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,1,1,11,3,3,80,0,3,3,3,3,2,1,2
1829,0,36,Non-Travel,845,Sales,1,5,Medical,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,1,0,15,3,2,80,0,7,6,3,1,0,0,0
1830,0,36,Travel_Frequently,541,Sales,3,4,Medical,1,Male,48,2,3,Sales Executive,4,Married,9699,7246,4,1,0,11,3,1,80,1,16,2,3,13,9,1,12
1831,0,57,Travel_Rarely,593,Research & Development,1,4,Medical,4,Male,88,3,2,Healthcare Representative,3,Married,6755,2967,2,1,0,11,3,3,80,0,15,2,3,3,2,1,2
1832,0,40,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,4,Female,46,4,1,Laboratory Technician,3,Married,2213,22495,3,1,1,13,3,3,80,1,10,3,3,7,7,1,7
1833,0,21,Non-Travel,895,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,2610,2851,1,1,0,24,4,3,80,0,3,3,2,3,2,2,2
1834,1,33,Travel_Rarely,350,Sales,5,3,Marketing,4,Female,34,3,1,Sales Representative,3,Single,2851,9150,1,1,1,13,3,2,80,0,1,2,3,1,0,0,0
1835,0,37,Travel_Rarely,921,Research & Development,10,3,Medical,3,Female,98,3,1,Laboratory Technician,1,Married,3452,17663,6,1,0,20,4,2,80,1,17,3,3,5,4,0,3
1836,0,46,Non-Travel,1144,Research & Development,7,4,Medical,3,Female,30,3,2,Manufacturing Director,3,Married,5258,16044,2,1,0,14,3,3,80,0,7,2,4,1,0,0,0
1837,1,41,Travel_Frequently,143,Sales,4,3,Marketing,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,1,0,18,3,3,80,0,8,5,3,8,7,7,7
1838,0,50,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,4,Male,100,2,3,Healthcare Representative,4,Single,10496,2755,6,1,0,15,3,4,80,0,20,2,3,4,3,1,3
1839,1,40,Travel_Rarely,575,Sales,22,2,Marketing,3,Male,68,2,2,Sales Executive,3,Married,6380,6110,2,1,1,12,3,1,80,2,8,6,3,6,4,1,0
1840,0,31,Travel_Rarely,408,Research & Development,9,4,Life Sciences,3,Male,42,2,1,Research Scientist,2,Single,2657,7551,0,1,1,16,3,4,80,0,3,5,3,2,2,2,2
1841,1,21,Travel_Rarely,156,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,2716,25422,1,1,0,15,3,4,80,0,1,0,3,1,0,0,0
1842,0,29,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,4,Male,54,3,1,Research Scientist,4,Single,2201,18168,9,1,0,16,3,4,80,0,6,4,3,3,2,1,2
1843,0,35,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,Male,97,2,2,Healthcare Representative,2,Single,6540,19394,9,1,0,19,3,3,80,0,10,5,3,1,1,0,0
1844,0,27,Travel_Rarely,1469,Research & Development,1,2,Medical,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,1,0,11,3,2,80,1,5,2,3,5,2,0,4
1845,0,28,Travel_Rarely,304,Sales,9,4,Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,1,0,16,3,4,80,0,7,1,3,7,5,0,7
1846,0,49,Travel_Rarely,1261,Research & Development,7,3,Other,2,Male,31,2,3,Healthcare Representative,3,Single,10965,12066,8,1,0,24,4,3,80,0,26,2,3,5,2,0,0
1847,0,51,Travel_Rarely,1178,Sales,14,2,Life Sciences,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,1,0,11,3,3,80,1,18,2,2,7,7,0,7
1848,0,36,Travel_Rarely,329,Research & Development,2,3,Life Sciences,4,Female,96,3,1,Research Scientist,3,Married,2543,11868,4,1,0,13,3,2,80,1,6,3,3,2,2,2,2
1849,1,34,Non-Travel,1362,Sales,19,3,Marketing,1,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,1,1,13,3,2,80,0,9,3,2,5,2,0,4
1850,0,55,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,3,Female,97,3,4,Manager,4,Single,16659,23258,2,1,1,13,3,3,80,0,30,2,3,5,4,1,2
1851,0,24,Travel_Rarely,1371,Sales,10,4,Marketing,4,Female,77,3,2,Sales Executive,3,Divorced,4260,5915,1,1,1,12,3,4,80,1,5,2,4,5,2,0,3
1852,0,30,Travel_Rarely,202,Sales,2,1,Technical Degree,3,Male,72,3,1,Sales Representative,2,Married,2476,17434,1,1,0,18,3,1,80,1,1,3,3,1,0,0,0
1853,1,26,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,Male,73,3,1,Research Scientist,1,Single,3102,6582,0,1,0,22,4,3,80,0,7,2,3,6,4,0,4
1854,0,22,Travel_Rarely,253,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,2244,24440,1,1,0,13,3,4,80,1,2,1,3,2,1,1,2
1855,0,36,Travel_Rarely,164,Sales,2,2,Medical,2,Male,61,2,3,Sales Executive,3,Married,7596,3809,1,1,0,13,3,2,80,2,10,2,3,10,9,9,0
1856,1,30,Travel_Frequently,464,Research & Development,4,3,Technical Degree,3,Male,40,3,1,Research Scientist,4,Single,2285,3427,9,1,1,23,4,3,80,0,3,4,3,1,0,0,0
1857,0,37,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,1,0,12,3,3,80,1,18,2,2,18,7,12,17
1858,0,40,Travel_Rarely,759,Sales,2,2,Marketing,4,Female,46,3,2,Sales Executive,2,Divorced,5715,22553,7,1,0,12,3,3,80,2,8,5,3,5,4,1,3
1859,0,42,Travel_Rarely,201,Research & Development,1,4,Life Sciences,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,1,0,16,3,2,80,1,8,5,3,5,2,1,2
1860,0,37,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,3,Male,49,3,2,Manufacturing Director,2,Single,4197,21123,2,1,1,12,3,4,80,0,18,2,2,1,0,0,1
1861,0,43,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,Male,59,2,4,Research Director,2,Divorced,14336,4345,1,1,0,11,3,3,80,1,25,3,3,25,10,3,9
1862,0,40,Travel_Rarely,555,Research & Development,2,3,Medical,2,Female,78,2,2,Laboratory Technician,3,Married,3448,13436,6,1,0,22,4,2,80,1,20,3,3,1,0,0,0
1863,0,54,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,1,0,11,3,3,80,1,24,4,2,4,2,1,2
1864,0,34,Non-Travel,1381,Sales,4,4,Marketing,3,Female,72,3,2,Sales Executive,3,Married,6538,12740,9,1,0,15,3,1,80,1,6,3,3,3,2,1,2
1865,0,31,Travel_Rarely,480,Research & Development,7,2,Medical,2,Female,31,3,2,Manufacturing Director,1,Married,4306,4156,1,1,0,12,3,2,80,1,13,5,1,13,10,3,12
1866,0,43,Travel_Frequently,313,Research & Development,21,3,Medical,4,Male,61,3,1,Laboratory Technician,4,Married,2258,15238,7,1,0,20,4,1,80,1,8,1,3,3,2,1,2
1867,0,43,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,1,1,14,3,4,80,0,8,3,3,5,2,0,2
1868,0,25,Travel_Rarely,891,Sales,4,2,Life Sciences,2,Female,99,2,2,Sales Executive,4,Single,4487,12090,1,1,1,11,3,2,80,0,5,3,3,5,4,1,3
1869,0,37,Non-Travel,1063,Research & Development,25,5,Medical,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,1,1,15,3,1,80,2,15,2,3,13,11,10,7
1870,0,31,Travel_Rarely,329,Research & Development,1,2,Life Sciences,4,Male,98,2,1,Laboratory Technician,1,Married,2218,16193,1,1,0,12,3,3,80,1,4,3,3,4,2,3,2
1871,0,39,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,19197,8213,1,1,1,14,3,3,80,1,21,3,3,21,8,1,6
1872,0,56,Travel_Frequently,906,Sales,6,3,Life Sciences,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,9,1,0,11,3,4,80,3,36,0,2,7,7,7,7
1873,0,30,Travel_Rarely,1082,Sales,12,3,Technical Degree,2,Female,83,3,2,Sales Executive,3,Single,6577,19558,0,1,0,11,3,2,80,0,6,6,3,5,4,4,4
1874,0,41,Travel_Rarely,645,Sales,1,3,Marketing,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,1,0,16,3,3,80,1,10,2,3,10,7,0,7
1875,0,28,Travel_Rarely,1300,Research & Development,17,2,Medical,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,1,0,12,3,4,80,1,10,2,3,10,0,1,8
1876,1,25,Travel_Rarely,688,Research & Development,3,3,Medical,1,Male,91,3,1,Laboratory Technician,1,Married,4031,9396,5,1,0,13,3,3,80,1,6,5,3,2,2,0,2
1877,0,52,Travel_Rarely,319,Research & Development,3,3,Medical,4,Male,39,2,3,Manufacturing Director,3,Married,7969,19609,2,1,1,14,3,3,80,0,28,4,3,5,4,0,4
1878,0,45,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Male,69,3,1,Research Scientist,4,Married,2654,9655,3,1,0,21,4,4,80,2,8,3,2,2,2,0,2
1879,0,52,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,4,Female,30,3,4,Manager,4,Married,16555,10310,2,1,0,13,3,4,80,0,31,2,1,5,2,1,4
1880,0,42,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,4556,12932,2,1,0,11,3,2,80,1,19,3,3,5,4,0,2
1881,0,30,Travel_Rarely,317,Research & Development,2,3,Life Sciences,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,1,0,20,4,3,80,0,11,2,3,5,4,0,2
1882,0,60,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,Female,41,3,5,Manager,1,Married,19566,3854,5,1,0,11,3,4,80,0,33,5,1,29,8,11,10
1883,0,46,Travel_Rarely,1485,Research & Development,18,3,Medical,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,1,0,14,3,3,80,1,19,5,2,10,7,0,8
1884,0,42,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,1,0,11,3,4,80,3,7,4,4,6,5,0,4
1885,1,24,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,1,1,16,3,2,80,0,6,4,3,5,3,1,4
1886,1,34,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,1,0,16,3,4,80,1,3,3,2,2,2,1,0
1887,0,38,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,1,1,23,4,3,80,1,1,3,3,1,0,0,0
1888,0,40,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Female,79,3,5,Manager,3,Married,18041,13022,0,1,0,14,3,4,80,0,21,2,3,20,15,1,12
1889,0,26,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,Female,90,3,1,Research Scientist,4,Divorced,2886,3032,1,1,0,22,4,2,80,2,3,3,1,3,2,0,2
